status_id,num_likes,first_page_comment,comments_beyond_pageone
163364503715353_1024038747647920,147,7,1
163364503715353_1023605131024615,61,1,1
163364503715353_1023569324361529,182,16,9
163364503715353_1023539727697822,0,1,0
163364503715353_1023480374370424,54454,102,110
163364503715353_1677547639132852,0,0,0
163364503715353_1023196137732181,134,5,9
163364503715353_1023018214416640,0,1,0
163364503715353_1022999941085134,0,2,0
163364503715353_1022668601118268,110,5,24
163364503715353_1022587767793018,0,2,0
163364503715353_1022269727824822,91,3,11
163364503715353_749399851831300,0,0,0
163364503715353_1022223474496114,88,1,5
163364503715353_730058897126579,0,0,0
163364503715353_1022171651167963,0,0,0
163364503715353_1022171474501314,0,0,0
163364503715353_1021815177870277,65,5,7
163364503715353_1021620117889783,1,0,0
163364503715353_1021595301225598,43,4,1
163364503715353_1687123738168261,0,0,0
163364503715353_1021314691253659,0,1,0
163364503715353_1021309391254189,67,4,3
163364503715353_1021272137924581,50,1,3
163364503715353_1021257101259418,1,0,0
163364503715353_1021245444593917,1,0,0
163364503715353_1021245037927291,1,2,0
163364503715353_1021239981261130,52,2,6
163364503715353_1021170657934729,56,0,6
163364503715353_1020885104629951,71,0,8
163364503715353_1020794417972353,41,0,4
163364503715353_1020748161310312,104,2,9
163364503715353_1020716314646830,75,0,13
163364503715353_1020524671332661,0,1,0
163364503715353_1020512274667234,1,2,0
163364503715353_1020481678003627,88,5,9
163364503715353_1020434708008324,78,0,5
163364503715353_1020400164678445,32,0,4
163364503715353_1020358148015980,0,3,0
163364503715353_1020122408039554,0,1,0
163364503715353_1020086464709815,85,3,7
163364503715353_1019968064721655,0,0,0
163364503715353_1019955278056267,69,1,7
163364503715353_1717710825125536,0,0,0
163364503715353_1019933634725098,20,1,0
163364503715353_1019901548061640,142,6,20
163364503715353_1019742634744198,1,1,0
163364503715353_1019623774756084,56,1,8
163364503715353_1019590628092732,553,20,13
163364503715353_1019561371428991,57,0,2
163364503715353_1019513681433760,0,1,0
163364503715353_1019248798126915,82,5,10
163364503715353_1019241058127689,0,1,0
163364503715353_1019194498132345,41,0,6
163364503715353_1019169074801554,23726,286,3
163364503715353_1003997502997539,0,0,0
163364503715353_894123124009523,1,0,0
163364503715353_1018698808181914,97,7,17
163364503715353_1018678311517297,240,13,36
163364503715353_1018485644869897,50,1,3
163364503715353_1018433084875153,0,0,0
163364503715353_1018424731542655,76,2,9
163364503715353_859510857477371,1,1,0
163364503715353_1018308628220932,0,1,0
163364503715353_1018295741555554,1,1,0
163364503715353_1018118278239967,0,1,0
163364503715353_1018114684906993,0,1,0
163364503715353_1018095974908864,90,0,14
163364503715353_1018092148242580,179,3,5
163364503715353_1018081021577026,0,1,0
163364503715353_1011356812237369,0,0,0
163364503715353_1511537839161173,0,0,0
163364503715353_1017912631593865,1,1,0
163364503715353_1017912198260575,1,2,0
163364503715353_1017886091596519,0,1,0
163364503715353_1017726651612463,0,1,1
163364503715353_1038693372850220,0,0,0
163364503715353_1017658164952645,59,2,0
163364503715353_1017602531624875,531,7,105
163364503715353_1017607051624423,0,1,0
163364503715353_1017525264965935,15204,28,149
163364503715353_1017341034984358,0,1,0
163364503715353_1017305008321294,0,1,0
163364503715353_1017280674990394,0,1,0
163364503715353_1017240311661097,63,1,6
163364503715353_1017213104997151,0,2,0
163364503715353_812425078856872,0,0,0
163364503715353_1016920811693047,1,2,0
163364503715353_1016916681693460,213,6,27
163364503715353_1016850001700128,0,0,0
163364503715353_1016848368366958,0,0,0
163364503715353_1016847165033745,0,1,0
163364503715353_1016831868368608,0,1,0
163364503715353_10206773331224730,0,0,0
163364503715353_1016804115038050,92,4,10
163364503715353_1016764725041989,0,1,0
163364503715353_1493533097608307,0,0,0
163364503715353_772926406153014,0,0,0
163364503715353_1016709878380807,70,4,8
163364503715353_1016434495075012,145,5,5
163364503715353_1016366858415109,52,3,5
163364503715353_1016366158415179,0,0,0
163364503715353_1016355275082934,0,1,0
163364503715353_1016335181751610,0,0,0
163364503715353_1016245041760624,104,6,10
163364503715353_1016223878429407,0,1,0
163364503715353_1016202191764909,129,6,14
163364503715353_1015649235153538,70,1,3
163364503715353_1015585688493226,1,1,0
163364503715353_1015560421829086,74,1,3
163364503715353_1015499761835152,73,2,7
163364503715353_113281665694765,0,0,0
163364503715353_1015204105198051,98,5,20
163364503715353_1015067591878369,0,1,0
163364503715353_142345246120529,0,0,0
163364503715353_1014761201909008,80,7,5
163364503715353_1014724711912657,2,2,0
163364503715353_1014718131913315,0,1,0
163364503715353_1014632838588511,92,0,21
163364503715353_1014296095288852,1,1,0
163364503715353_1014283871956741,0,1,0
163364503715353_1014276831957445,88,6,11
163364503715353_1014174318634363,159,2,21
163364503715353_1014152221969906,0,1,0
163364503715353_1014051458646649,166,1,23
