status_id,num_likes,first_page_comment,comments_beyond_pageone
115332808485663_969690526383216,973,54,14
115332808485663_969688846383384,2619,41,22
115332808485663_969343593084576,2358,29,14
115332808485663_969282569757345,4120,75,27
115332808485663_969200769765525,912,44,4
115332808485663_968856923133243,3967,59,44
115332808485663_968800116472257,507,28,2
115332808485663_968785119807090,3604,71,26
115332808485663_968743229811279,3251,73,15
115332808485663_968725386479730,4142,120,69
115332808485663_968346393184296,996,48,15
115332808485663_968319599853642,2235,44,30
115332808485663_968315643187371,84,2,5
115332808485663_968304619855140,2611,84,26
115332808485663_968284479857154,875,34,37
115332808485663_968270213191914,1678,45,33
115332808485663_968257383193197,2121,56,41
115332808485663_968228003196135,4017,60,53
115332808485663_967931779892424,3906,68,29
115332808485663_967757399909862,4565,103,51
115332808485663_967750766577192,437,28,1
115332808485663_967695319916070,5928,140,61
115332808485663_967358186616450,3116,46,40
115332808485663_967281586624110,4886,57,43
115332808485663_967237043295231,464,23,1
115332808485663_967205273298408,13263,147,98
115332808485663_966783280007274,2956,56,21
115332808485663_966706550014947,5089,103,90
115332808485663_966454180040184,37695,1471,5464
115332808485663_966252556727013,4133,89,161
115332808485663_966207600064842,5933,75,50
115332808485663_966140493404886,7382,117,77
